0 & 1 & 0.707107 & 0.803219
15 & 0.960769 & 0.534522 & 0.803219
30 & 0.862316 & 0.327327 & 0.915811
45 & 0.679366 & 0.387298 & 0.983739
60 & 0.566139 & 0.46291 & 1
75 & 0.330113 & 0.547723 & 0.950382
90 & 0 & 0.755929 & 0.842424
105 & 0.310087 & 0.894427 & 0.851943
120 & 0.599145 & 1 & 0.581988
135 & 0.679366 & 0.956183 & 0.475191
150 & 0.847319 & 0.861892 & 0.439941
165 & 0.9337 & 0.717137 & 0.508001
180 & 0.960769 & 0.676123 & 0.803219
195 & 0.919866 & 0.507093 & 0.803219
210 & 0.800641 & 0.316228 & 0.915811
225 & 0.620174 & 0.400892 & 0.983739
240 & 0.531085 & 0.478091 & 1
255 & 0.299572 & 0.755929 & 0.950382
270 & 0 & 0.755929 & 0.803219
285 & 0.299572 & 0.861892 & 0.823055
300 & 0.57735 & 0.92582 & 0.538816
315 & 0.640513 & 0.910259 & 0.421212
330 & 0.816497 & 0.828079 & 0.40161
345 & 0.905822 & 0.676123 & 0.475191
360 & 1 & 0.707107 & 0.803219
